location_id,location_set_version_id,location_set_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,who_label
4667,1020.0,111.0,130.0,"1,103,124,130,4667",4.0,1.0,1.0,57,Sinaloa,Sinaloa,Sinaloa,Sinaloa,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4667,MX-SIN,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4668,1020.0,111.0,130.0,"1,103,124,130,4668",4.0,1.0,1.0,58,Sonora,Sonora,Sonora,Sonora,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4668,MX-SON,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4669,1020.0,111.0,130.0,"1,103,124,130,4669",4.0,1.0,1.0,59,Tabasco,Tabasco,Tabasco,Tabasco,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4669,MX-TAB,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4670,1020.0,111.0,130.0,"1,103,124,130,4670",4.0,1.0,1.0,60,Tamaulipas,Tamaulipas,Tamaulipas,Tamaulipas,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4670,MX-TAM,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4671,1020.0,111.0,130.0,"1,103,124,130,4671",4.0,1.0,1.0,61,Tlaxcala,Tlaxcala,Tlaxcala,Tlaxcala,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4671,MX-TLA,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4672,1020.0,111.0,130.0,"1,103,124,130,4672",4.0,1.0,1.0,62,Veracruz de Ignacio de la Llave,Veracruz de Ignacio de la Llave,Veracruz,Veracruz de Ignacio de la Llave,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4672,MX-VER,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4673,1020.0,111.0,130.0,"1,103,124,130,4673",4.0,1.0,1.0,63,Yucatán,Yucatan,Yucatan,Yucatán,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4673,MX-YUC,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
4674,1020.0,111.0,130.0,"1,103,124,130,4674",4.0,1.0,1.0,64,Zacatecas,Zacatecas,Zacatecas,Zacatecas,3.0,admin1,,103.0,Latin America and Caribbean,124.0,Central Latin America,MEX_4674,MX-ZAC,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
131,1020.0,111.0,124.0,"1,103,124,131",3.0,1.0,1.0,65,Nicaragua,Nicaragua,Nicaragua,Nicaragua,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,NIC,NIC,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
132,1020.0,111.0,124.0,"1,103,124,132",3.0,1.0,1.0,66,Panama,Panama,Panama,Panama,2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,PAN,PAN,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
133,1020.0,111.0,124.0,"1,103,124,133",3.0,1.0,1.0,67,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Venezuela,Venezuela (Bolivarian Republic of),2.0,admin0,,103.0,Latin America and Caribbean,124.0,Central Latin America,VEN,VEN,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
134,1020.0,111.0,103.0,"1,103,134",2.0,0.0,0.0,68,Tropical Latin America,Tropical Latin America,Trop Latin Am,Tropical Latin America,6.0,region,,103.0,Latin America and Caribbean,134.0,Tropical Latin America,R14,R14,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
135,1020.0,111.0,134.0,"1,103,134,135",3.0,0.0,0.0,69,Brazil,Brazil,Brazil,Brazil,2.0,admin0,,103.0,Latin America and Caribbean,134.0,Tropical Latin America,BRA,BRA,0,2022-03-02 13:13:22,,2022-03-02 13:13:22,2022-03-02 13:13:22,bhuntley,INSERT,,
